conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4fabca9a-7435-4f33-b1da-3cdb00340fdc,efectuează cercetare științifică,released,skill/competence,cross-sector,setează rampele scărilor | poziționează rampele scărilor,"Se angajează în conceperea sau crearea de noi cunoștințe prin formularea de întrebări în legătură cu cercetarea, prin cercetarea, îmbunătățirea sau dezvoltarea de concepte, teorii, modele, tehnici, instrumente, software sau metode operaționale și prin utilizarea de metode și tehnici științifice.
	",http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,efectuează cercetare academică sau de piață
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/518dc04d-092d-4fa1-bd82-88b7a9278ef7,gestionează drepturi de proprietate intelectuală,released,skill/competence,sector-specific,recomandă acțiunilor legate de piață | recomandă măsuri legate de piață | acordă consiliere privind măsurile legate de piață | oferă sugestii privind măsurile legate de piață,"Se ocupă de drepturile juridice private care protejează produsele ce fac obiectul drepturilor de proprietate intelectuală împotriva încălcării.
	",http://data.europa.eu/esco/skill/f4bcdb75-df28-441d-a52b-9730904f36a1 | http://data.europa.eu/esco/skill/0d80a782-99ff-4f49-abbe-c72524c6f390,își exercită drepturile și responsabilitățile | negociază și gestionează contracte și acorduri
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5f0082ab-2131-49b5-94d6-a1821daf57d6,solicită finanțare pentru cercetare,released,skill/competence,cross-sector,identifica granturi de cercetare | genereaza finanțare pentru cercetare | elaboreaza cereri de granturi de cercetare | solicita granturi de cercetare,"Identifică principalele surse de finanțare relevante și pregătește cererea de grant pentru cercetare în vederea obținerii de fonduri și granturi.
	",http://data.europa.eu/esco/skill/0ffce932-cec4-4fec-87e6-df23fb6bdc12 | http://data.europa.eu/esco/skill/1bc1cf2a-a7f6-4769-a13b-cc26a2214498,"găsește granturi | pregătesc documente pentru contracte, cereri sau permise"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0,lucrează în echipe,released,skill/competence,transversal,desfășoară muncă de echipă | sprijină colegii | muncește în echipă,"Lucrează cu încredere în cadrul unui grup, fiecare făcându-și partea lui în serviciul întregului.
	",http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,Colaborează în echipe și rețele
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74,negociază compromisuri,released,skill/competence,transversal,"gestionează plângeri | soluționează conflicte | negociază compromisuri, negociază | încearcă să ajungă la un acord","Comunică cu ceilalți cu intenția de a ajunge la o înțelegere comună sau de a rezolva un punct de divergență, fără a pierde din vedere intențiile sau scopurile proprii sau ale altora.
	",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,Comunică
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d,face față stresului,released,skill/competence,transversal,face față presiunii | rămâne calm sub presiune | acceptă provocări | demonstrează rezistență mentală,"Gestionează provocările, perturbările și schimbările și se redresează în urma regreselor și a adversităților.
	",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,Menține o atitudine pozitivă
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9,gândește critic,released,skill/competence,transversal,evaluează informațiile | ia în considerare opinii diferite | aplică gândire critică | evaluează informațiile și sursele acestora | evaluează critic informațiile și sursele acestora | evaluează adevărul,"Pronunță și apără hotărâri pe baza dovezilor interne și a criteriilor externe. Evaluează critic credibilitatea și fiabilitatea informațiilor înainte de a le utiliza sau de a le transmite altora. Dezvoltă o gândire independentă și critică.
	",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"Prelucrează informațiile, ideile și conceptele"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/833289fa-3646-4010-9d9e-93ba8c9ef2d8,aplică principiile eticii și integrității științifice în activitățile de cercetare,released,skill/competence,cross-sector,,"Aplică principiile etice fundamentale și legislația în domeniul cercetării științifice, inclusiv în ceea ce privește aspectele legate de integritatea cercetării. Efectuează, revizuiește sau raportează cercetări, evitând comportamentele greșite, cum ar fi fabricarea, falsificarea și plagiatul.
	",http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,efectuează cercetare academică sau de piață
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/872a1632-f1db-4feb-bb27-0a6a359b7591,promovează inovarea deschisă în cercetare,released,skill/competence,cross-sector,,Promovează colaborările integrate în cadrul cărora diferite părți interesate creează în comun inovații cu o valoare comună,http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,efectuează cercetare academică sau de piață
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/979cf728-896f-4f2c-8fa8-2698ca0d4930,publică lucrări de cercetare academice,released,skill/competence,cross-sector,publică lucrări de cercetare,"Întreprinde activități de cercetare academică la o universitate, la un colegiu sau pe cont propriu, în domeniul său de specialitate, și publică rezultatele acestora în cărți sau reviste academice, cu scopul de a contribui la domeniul său de specialitate și de a obține acreditare academică personală.
	",http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1 | http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,diseminează rezultatele în rândul comunității științifice | scriu lucrări tehnice sau academice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/988f4ac3-a37c-4b0a-a40f-4e0e56b5919e,promovează transferul de cunoștințe,released,skill/competence,cross-sector,asigurarea legăturii dintre cercetare și industrie | valorifica rezultatele cercetării în industrie | valorifica rezultatele cercetării în sectorul public,"Implementează o amplă sensibilizare cu privire la procesele de valorificare a cunoștințelor, menită să maximizeze fluxul bidirecțional de tehnologie, proprietate intelectuală, expertiză și capacitate între baza de cercetare și industrie sau sectorul public.
	",http://data.europa.eu/esco/skill/efbb3d3b-a41c-4e0a-90a8-8e611eb1db9f,"oferă consultanță cu privire la aspecte juridice, de reglementare sau procedurale"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9a58cd26-58eb-4a1c-b1b6-64037fe9cfa1,gândește în mod abstract,released,skill/competence,cross-sector,efectuează observații regulate ale condițiilor meteorologice | efectuează anchete regulate ale condițiilor meteorologice | efectuează în permanență studii asupra condițiilor meteorologice | observă în mod continuu condițiile meteorologice | monitorizează în mod continuu condițiile meteorologice | monitorizează în mod regulat condițiile meteorologice | efectuează observații regulate ale condițiilor climatice | monitorizează în mod constant condițiile meteorologice | efectuează continuu studii meteorologice,"Demonstrează capacitatea de a utiliza concepte pentru a crea și înțelege generalizările și de a le corela sau conecta la alte elemente, evenimente sau experiențe.
	",http://data.europa.eu/esco/skill/ab877a24-335d-4676-b366-c5c06651481a,"comunicare, colaborare și creativitate"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a584a638-a2c0-4b3c-bdf3-a64f87225be9,îndrumă oameni,released,skill/competence,cross-sector,,"Îndrumă oamenii oferindu-le sprijin emoțional, împărtășind experiențe și oferind sfaturi persoanei pentru a o ajuta în dezvoltarea personală, precum și adaptând sprijinul la nevoile specifice ale persoanei și acordând atenție solicitărilor și așteptărilor acesteia.",http://data.europa.eu/esco/skill/e2bdf081-333a-414f-b8ac-93c76290f167,desfășoară activități de îndrumare și mentorat
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a8b3957f-08b4-4a76-927d-0b2e3d0dbd39,sintetizează publicații de cercetare,released,skill/competence,cross-sector,realizează sinteza publicațiilor științifice | sintetizează publicațiile de cercetare | citește și interpretează publicațiile științifice | creează sinteze ale publicațiilor de cercetare,"Citește și interpretează publicațiile științifice care prezintă o problemă de cercetare, metodologia, soluția și ipoteza acesteia. Le compară și extrage informațiile necesare.",http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a | http://data.europa.eu/esco/skill/29dcc31e-a8d6-4a62-b3c1-2de81e966e39 | http://data.europa.eu/esco/skill/f715be1d-5fc4-49d3-82a5-0b8090d12849,prelucrează informații calitative | culeg informații din surse fizice sau electronice | sintetizează informații
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612,gestionează dezvoltarea profesională personală,released,skill/competence,cross-sector,manipularea corectă a eliminării substanțelor chimice | eliminarea corectă a substanțelor chimice | manevrează corect eliminarea substanțelor chimice | manevrarea corectă a eliminării substanțelor chimice | elimină corect substanțele chimice,"Își asumă responsabilitatea pentru învățarea pe tot parcursul vieții și dezvoltarea profesională continuă. Se implică în activități de învățare pentru a sprijini și actualiza competențele profesionale. Identifică domeniile prioritare pentru dezvoltarea profesională pe baza unei reflecții cu privire la propria practică și prin contactul cu omologii și cu părțile interesate.
	",http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be | http://data.europa.eu/esco/skill/7e0b93e0-0de7-4607-b07f-27a6828d3ff0,gestionează evoluția personală | elaborează programe educaționale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869,soluționează probleme,released,skill/competence,transversal,rezolvă probleme | creează strategii pentru rezolvarea problemelor | demonstrează abilități de rezolvare a problemelor | dezvoltă strategii pentru rezolvarea problemelor | acționează intuitiv | creează soluții la probleme | elaborează strategii pentru rezolvarea problemelor | pune în practică rezolvarea problemelor | gestionează problemele,"Găsește soluții la probleme practice, operaționale sau conceptuale într-o gamă largă de contexte.
	",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,Soluționează probleme
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b363bb5f-2c79-40af-94da-33e06f9dee9f,aplică învățarea mixtă,released,skill/competence,cross-sector,instalează turbine eoliene | inspectează echipamentele turbinelor eoliene | asamblează turbine eoliene,"Este familiarizat(ă) cu instrumentele de învățare mixtă prin combinarea învățării tradiționale „față în față” și online cu ajutorul instrumentelor digitale, a tehnologiilor online și a metodelor de învățare online.
	",http://data.europa.eu/esco/skill/caede8f1-6658-4d78-9eb4-2ad2c7ebf09b,predau cursuri și oferă instruire
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bdcf429c-5ccf-4c3d-bb61-4c987573a35e,demonstrează spirit antreprenorial,released,skill/competence,transversal,identifică oportunități | demonstrează calități de antreprenor | demonstrează voință de asumare a riscurilor | urmărește oportunități,"Dezvoltă, organizează și gestionează o întreprindere proprie, identificând și urmărind oportunitățile și mobilizând resursele, ținând cont de perspectiva unei rentabilități. Dă dovadă de o atitudine proactivă și de hotărâre pentru a reuși în afaceri
	",http://data.europa.eu/esco/skill/6c6957bf-cf1f-4483-9c7e-1655f251b01a,Aplică aptitudini și competențe antreprenoriale și financiare
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c3c2420c-ce9a-4371-8eed-1db479c3a562,scrie publicații științifice,released,skill/competence,cross-sector,realizează testarea rutieră | efectuează un test rutier | pune în aplicare testarea rutieră | efectuează testarea rutieră,"Prezintă ipoteze, constatări și concluzii ale cercetării științifice din propriul domeniu de expertiză în cadrul unei publicații profesionale.
	",http://data.europa.eu/esco/skill/be40c4c3-a855-4d67-9ca5-6f4428c34b0d | http://data.europa.eu/esco/skill/7a34b3d9-bd3b-4f4e-a0f6-f97439901cb7 | http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1 | http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,furnizează informații în scris | aplică metode științifice | diseminează rezultatele în rândul comunității științifice | scriu lucrări tehnice sau academice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cc61f9e5-d4fc-470e-8606-1ce865ff8386,dezvoltă rețele profesionale cu cercetători,released,skill/competence,cross-sector,oferă explicații utilizatorilor bibliotecii,"Dezvoltă alianțe, contacte sau parteneriate și realizează schimburi de informații cu alte persoane. Promovează colaborările integrate și deschise în cadrul cărora diferite părți interesate creează în comun inovații și cercetare cu o valoare comună. Își creează profilul sau marca personală și se face vizibil(ă) și accesibil(ă) în medii de relaționare față în față și online.
	",http://data.europa.eu/esco/skill/8a3b45dc-8299-4b67-99db-6542daf79ac3,dezvoltă relații sau rețele profesionale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cd50d616-1f8b-481e-983f-68d2674ff82d,integrează dimensiunea de gen în cercetare,released,skill/competence,cross-sector,,"Ia în considerare, în întregul proces de cercetare, caracteristicile biologice și evoluția caracteristicilor sociale și culturale ale femeilor și bărbaților (gen).",http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,efectuează cercetare academică sau de piață
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68,asigură managementul de proiect,released,skill/competence,cross-sector,,"Gestionează și planifică diversele resurse, cum ar fi resursele umane, bugetul, termenul, rezultatele și calitatea necesare pentru un anumit proiect, și monitorizează progresele înregistrate în cadrul proiectului pentru a realiza un obiectiv specific într-o anumită perioadă de timp și cu un buget prestabilit.",http://data.europa.eu/esco/skill/190f64e1-b7b6-4c53-b20b-80f9215ef6ca | http://data.europa.eu/esco/skill/ccfbdaad-b91d-4bfe-bd0e-d30b33587f19,"conduce, supraveghează și coordonează proiecte | păstrează registre privind progresul activității"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/da930e2f-6047-4616-a598-bba8ecef3039,gestionează publicații deschise,released,skill/competence,cross-sector,,"Este familiarizat(ă) cu strategiile de publicare deschisă, cu utilizarea tehnologiei informației pentru a sprijini cercetarea, precum și cu dezvoltarea și gestionarea sistemelor actuale de informații privind cercetarea (CRIS) și a arhivelor instituționale. Furnizează consiliere privind acordarea licențelor și drepturile de autor, utilizează indicatori bibliometrici și măsoară și raportează impactul cercetării.
	",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,utilizează instrumente digitale pentru colaborare și productivitate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,planifică,released,skill/competence,transversal,efectuează planificarea | planifică activități,"Gestionează calendarul și resursele pentru a finaliza sarcinile în timp util.
	",http://data.europa.eu/esco/skill/66fdc34c-2326-4baa-b8ff-7a1d1015fe3a,Planifică și organizează
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f715be1d-5fc4-49d3-82a5-0b8090d12849,sintetizează informații,released,skill/competence,cross-sector,,"Citește, interpretează și rezumă în mod critic informații noi și complexe din diverse surse.
	",http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a | http://data.europa.eu/esco/skill/29dcc31e-a8d6-4a62-b3c1-2de81e966e39,prelucrează informații calitative | culeg informații din surse fizice sau electronice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f7b071bf-4882-4cfc-ae0a-7e0e0ab94c61,desfășoară activități de cercetare la nivel interdisciplinar,released,skill/competence,cross-sector,lucrează pe mai multe discipline,"Desfășoară activități de cercetare dincolo de limitele disciplinare și funcționale.
	",http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,efectuează cercetare academică sau de piață
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fa642fc3-5cc5-41cf-8926-6617a8b976a7,promovează implicarea publicului în cercetare,released,skill/competence,cross-sector,,"Dialoghează cu publicul în ceea ce privește conceperea, desfășurarea și difuzarea cercetării.
	",http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12 | http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,participă activ la viața civică | efectuează cercetare academică sau de piață
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff64e9fc-36dd-4035-872a-83aa41dc1ad9,comunică constatări științifice,released,skill/competence,cross-sector,monitorizează contoarele de utilități | verifică de defecțiuni contoarele de utilități | identifică defecțiunile la contoarele de utilități,"Împărtășește cu publicul larg constatările și entuziasmul recent în domeniul științei, sporește cunoștințele, aprecierea și înțelegerea științei de către public, promovează utilizarea rezultatelor științifice în formarea de opinii.
	",http://data.europa.eu/esco/skill/8f9f8b20-ff26-4392-b04f-695dcde5b90a,prezintă informații tehnice sau din domeniul cercetării
